id,text,is_offensive,ideology,insult,lgbtqphobia,profanity_obscene,racism,sexism,xenophobia
c779826dc43f460cb18e8429ca443477,"Pior do que adolescentezinhas de merda...são pessoas que levam filmes tão a sério! O livro/filme é dela, ela faz o que quiser! E por mais ruim que seja, ta rendendo milhões (:",OFF,False,True,False,True,False,True,False
a3d7839456ae4258a70298fcf637952e,"Podia ter beijo também, pra ver se o homofóbicos cortar os pulsos",OFF,False,True,False,False,False,False,False
b830374760cc44789f1493c6b228ebc1,"o monark não é racista que filha da putagem, já sofreram mano, o flow vai cair e já era, bah que foda isso tudo...",OFF,False,True,False,False,False,False,False
73299805588d424fa2905eaf9e616cf1,fudeu minha mãe acabou de chegar em casa e eu acabei de acordar tomei no cu,OFF,False,True,False,True,False,False,False
862cf8f819814e47bb4e7f6b4b0afc73,"Vergonha,ainda segura a bandeira de um país de verdade ,não esse puteiro que tá tendo aqui. USER tá preocupado mais com a fama do que com o Brasil, nunca mais verá meu apoio",OFF,True,True,True,False,False,False,True
dc0c8c8060014c51a91f825a66e2eec9,"USER Que vagabunda hipócrita, pq eu beijei as duas então geral se traiu e ela n pode reclamar",OFF,False,True,False,True,False,True,False
958e2e318f2c4dc494275e45d062fd3d,"""Heterofobismo?"" Pelo que eu saiba héteros nunca foram perseguidos, mortos e torturados por centenas de anos pela sua orientação sexual. Em alguns países do Oriente, gays são presos e , as vezes, mortos só por causa de orientação sexual. Isso NUNCA aconteceu e nem vai acontecer com héteros. A implantação nas escolas da ideia de que existem casais diferentes é ótima! O conhecimento é a arma contra a ignorância e tenho certeza que vai ajudar muitas crianças confusas por aí! ""Heterofobismo?"" Estude mais um pouco antes de abrir a boca e passar vergonha, por favor.",OFF,True,True,False,False,False,False,False
c6a30f5a906b4d92b1c73fa504c02290,USER Jajajajajaja llevan 62 años diciendo lo mismo. Son gente ignorante. URL,OFF,False,True,False,False,False,False,False
bbfe39048f9b4eff80b425e26b46cda6,Pra mim kkkk puta história fantasiosa,OFF,False,True,False,True,False,False,False
396d5049c82c430a9f4fa5694c00cbd2,USER desgraçado. Mentiroso. Vc acabou com minha dignidade.,OFF,False,True,False,True,False,False,False
c37e74b443164dc4a425d32e1e76a8d3,USER: Ojalá que Lina indique a alguno de los de Disney así aprenden a no ser burros HASHTAG,OFF,False,True,False,False,False,False,False
